METODOLOGIA,,,,
Categoria,#,Descrição do Problema / Sintoma no Ponto A,Descrição da Transformação / Resultado Final (Ponto B),OBS
,29,Empresa não realiza Testes A/B em páginas ou criativos de anúncios.,Processo de lançamento baseado em experimentos validados previamente.,case interessante de Itaqui
,30,"Falta de estratégia de ""Demanda Represada"" pré-lançamento.","Estratégia de ""Demanda Represada"" digital garante 30% de vendas no dia 1.","Trazer média CAY, SBY, IDA,"
Sintomas de Negócio,31,"Volume alto de leads entrando, mas o VGV vendido está estagnado.",VGV (Valor Geral de Vendas) esgotado dentro ou antes do prazo previsto.,
,32,Sensação nítida de que o budget de marketing está sendo queimado.,"Marketing visto como investimento de alto retorno, não como centro de custo.",
,33,"Dependência perigosa de 1 ou 2 ""corretores talentosos"" para bater metas.",Processo de vendas independente: qualquer corretor novo performa rápido.,
,34,"Estande de vendas vazio durante a semana, apesar do tráfego pago.",Estande de vendas recebe visitas qualificadas e agendadas previamente.,
,35,Excesso de reclamações de clientes sobre demora no primeiro contato.,Experiência do cliente impecável desde o primeiro clique até a entrega.,sem histórico real
,36,"Impossibilidade de provar o ROI de ações offline (outdoors, rádio).",Rastreabilidade total: o offline e o online trabalham em sinergia (Omnichannel).,
,37,Custo por Lead (CPL) subindo mês a mês sem explicação clara.,"Escala previsível: se dobrar o investimento, a empresa sabe quanto vai vender.",
,38,Baixa taxa de indicação (MGM) por falta de processo tecnológico no pós-venda.,Programa de indicações (MGM) gera 10% a 20% das vendas de forma orgânica.,sem histórico real
,39,"Estoque de unidades remanescentes (""encalhadas"") crescendo.",Zero estoque encalhado: estratégias de repescagem liquidam os remanescentes.,em construção
,40,Insegurança e medo constante de que o próximo lançamento fracasse.,Diretoria segura e confiante para adquirir novos terrenos e expandir.,
Estratégia e Cultura,41,"Comunicação genérica (""Vem morar bem"") em vez de segmentada por dados.",Comunicação ultra-segmentada por persona (Investidor vs. Morador).,
,42,Inteligência de dados ignorada na hora de escolher o próximo terreno.,Dados de mercado e de funil orientam a concepção dos próximos produtos.,
,43,Falta de monitoramento tecnológico sobre os anúncios da concorrência.,Monitoramento constante de mercado permite antecipar movimentos de rivais.,
,44,Branding e Performance são tratados como mundos separados e desconexos.,"Marca da incorporadora é percebida como moderna, tecnológica e confiável.",
,45,Uso excessivo de fotos de banco de imagens em vez de provas sociais reais.,Uso estratégico de depoimentos reais e prova social em toda a jornada.,
,46,"Base de clientes antigos é tratada como ""arquivo morto"".",Base de clientes (Assets) é o maior motor de vendas para novos lançamentos.,depende região
,47,Inexistência de uma cultura Data-Driven (decisões baseadas em dados).,"Decisões são tomadas em segundos através de dados, não de discussões.",
,48,"Comercial foca em ""preço"" porque o marketing não gerou ""valor"".",Valor percebido do produto permite margens de lucro acima da média.,
,49,"Refém de portais imobiliários caros, sem geração de demanda própria.","Geração de demanda própria, reduzindo dependência de portais externos.",
,50,Dono sobrecarregado mediando conflitos operacionais entre agência e equipe.,"Dono foca no estratégico e na expansão, com a máquina de vendas no automático.",← transição atual ET/CT
